subject,feature,seed,mapping_accuracy,mapping_balanced_accuracy,mapping
2,F2-S,13,0.265625,0.265625,"3,1,2,0"
2,F2-S,14,0.2604166666666667,0.2604166666666667,"2,0,3,1"
2,F2-S,15,0.2673611111111111,0.2673611111111111,"1,0,2,3"
2,F2-S,16,0.2586805555555556,0.2586805555555556,"1,3,2,0"
2,F2-S,17,0.2517361111111111,0.2517361111111111,"2,0,3,1"
2,F2-S,18,0.2621527777777778,0.2621527777777778,"1,2,3,0"
2,F2-S,19,0.2604166666666667,0.26041666666666663,"1,2,0,3"
2,F2-V,0,0.2829861111111111,0.2829861111111111,"0,2,3,1"
2,F2-V,1,0.2829861111111111,0.2829861111111111,"1,3,0,2"
2,F2-V,2,0.2795138888888889,0.2795138888888889,"3,0,2,1"
2,F2-V,3,0.2708333333333333,0.27083333333333337,"2,1,0,3"
2,F2-V,4,0.2743055555555556,0.2743055555555555,"1,3,0,2"
2,F2-V,5,0.2829861111111111,0.2829861111111111,"2,0,3,1"
2,F2-V,6,0.2829861111111111,0.2829861111111111,"1,2,3,0"
2,F2-V,7,0.2829861111111111,0.2829861111111111,"3,0,2,1"
2,F2-V,8,0.2743055555555556,0.2743055555555556,"1,0,2,3"
2,F2-V,9,0.2708333333333333,0.27083333333333337,"1,2,0,3"
2,F2-V,10,0.2777777777777778,0.2777777777777778,"0,1,2,3"
2,F2-V,11,0.2690972222222222,0.2690972222222222,"0,1,3,2"
2,F2-V,12,0.2847222222222222,0.2847222222222222,"2,0,1,3"
2,F2-V,13,0.28125,0.28125,"2,0,1,3"
2,F2-V,14,0.2847222222222222,0.2847222222222222,"1,0,3,2"
2,F2-V,15,0.2795138888888889,0.27951388888888884,"3,1,2,0"
2,F2-V,16,0.2795138888888889,0.27951388888888884,"2,0,3,1"
2,F2-V,17,0.2690972222222222,0.2690972222222222,"2,1,0,3"
2,F2-V,18,0.2795138888888889,0.2795138888888889,"3,0,2,1"
2,F2-V,19,0.2847222222222222,0.2847222222222222,"3,1,2,0"
2,F3-G,0,0.25,0.25,"2,3,0,1"
2,F3-G,1,0.2482638888888889,0.2482638888888889,"3,2,1,0"
2,F3-G,2,0.2482638888888889,0.2482638888888889,"0,1,3,2"
2,F3-G,3,0.2482638888888889,0.2482638888888889,"2,1,0,3"
2,F3-G,4,0.2482638888888889,0.2482638888888889,"2,3,0,1"
2,F3-G,5,0.2482638888888889,0.2482638888888889,"2,0,3,1"
2,F3-G,6,0.25,0.25,"2,1,0,3"
2,F3-G,7,0.2482638888888889,0.2482638888888889,"0,2,3,1"
2,F3-G,8,0.2482638888888889,0.2482638888888889,"0,2,3,1"
2,F3-G,9,0.2482638888888889,0.2482638888888889,"2,1,0,3"
2,F3-G,10,0.2482638888888889,0.2482638888888889,"2,0,1,3"
2,F3-G,11,0.2482638888888889,0.2482638888888889,"0,2,1,3"
2,F3-G,12,0.2482638888888889,0.2482638888888889,"0,2,3,1"
2,F3-G,13,0.2482638888888889,0.2482638888888889,"1,0,2,3"
2,F3-G,14,0.2482638888888889,0.2482638888888889,"0,2,3,1"
2,F3-G,15,0.2482638888888889,0.2482638888888889,"0,2,3,1"
2,F3-G,16,0.2482638888888889,0.2482638888888889,"3,2,1,0"
2,F3-G,17,0.2482638888888889,0.2482638888888889,"3,2,1,0"
2,F3-G,18,0.2482638888888889,0.2482638888888889,"1,2,3,0"
2,F3-G,19,0.2482638888888889,0.2482638888888889,"2,0,1,3"
3,F0,0,0.5486111111111112,0.5486111111111112,"2,1,3,0"
3,F0,1,0.5555555555555556,0.5555555555555556,"3,1,0,2"
3,F0,2,0.5243055555555556,0.5243055555555556,"2,1,3,0"
3,F0,3,0.5555555555555556,0.5555555555555556,"3,0,1,2"
3,F0,4,0.5225694444444444,0.5225694444444444,"2,1,0,3"
3,F0,5,0.5555555555555556,0.5555555555555556,"2,3,1,0"
3,F0,6,0.5538194444444444,0.5538194444444444,"0,1,2,3"
3,F0,7,0.5503472222222222,0.5503472222222222,"1,0,3,2"
3,F0,8,0.5243055555555556,0.5243055555555556,"1,3,2,0"
3,F0,9,0.5260416666666666,0.5260416666666666,"2,1,0,3"
3,F0,10,0.5260416666666666,0.5260416666666667,"2,1,0,3"
3,F0,11,0.5520833333333334,0.5520833333333333,"3,0,1,2"
3,F0,12,0.5520833333333334,0.5520833333333333,"0,3,1,2"
3,F0,13,0.5538194444444444,0.5538194444444444,"0,3,2,1"
3,F0,14,0.5277777777777778,0.5277777777777777,"2,1,0,3"
3,F0,15,0.5260416666666666,0.5260416666666666,"1,3,2,0"
3,F0,16,0.5225694444444444,0.5225694444444444,"2,1,0,3"
3,F0,17,0.5451388888888888,0.5451388888888888,"0,1,3,2"
3,F0,18,0.546875,0.546875,"0,2,3,1"
3,F0,19,0.5416666666666666,0.5416666666666667,"3,1,2,0"
3,F1,0,0.5815972222222222,0.5815972222222222,"0,1,3,2"
3,F1,1,0.5815972222222222,0.5815972222222222,"3,2,0,1"
3,F1,2,0.5798611111111112,0.5798611111111112,"2,1,0,3"
3,F1,3,0.5729166666666666,0.5729166666666667,"0,3,1,2"
3,F1,4,0.5746527777777778,0.5746527777777777,"0,1,3,2"
3,F1,5,0.5798611111111112,0.5798611111111112,"1,3,2,0"
3,F1,6,0.5868055555555556,0.5868055555555556,"2,1,0,3"
3,F1,7,0.5746527777777778,0.5746527777777777,"2,3,1,0"
3,F1,8,0.5763888888888888,0.5763888888888888,"0,3,2,1"
3,F1,9,0.5850694444444444,0.5850694444444444,"1,0,2,3"
3,F1,10,0.5868055555555556,0.5868055555555556,"3,2,0,1"
3,F1,11,0.5798611111111112,0.5798611111111112,"3,1,2,0"
3,F1,12,0.5746527777777778,0.5746527777777777,"0,2,3,1"
3,F1,13,0.578125,0.578125,"1,2,3,0"
3,F1,14,0.5729166666666666,0.5729166666666667,"3,1,2,0"
3,F1,15,0.5815972222222222,0.5815972222222222,"3,2,0,1"
3,F1,16,0.5868055555555556,0.5868055555555556,"2,3,1,0"
3,F1,17,0.5868055555555556,0.5868055555555556,"0,2,3,1"
3,F1,18,0.5850694444444444,0.5850694444444444,"0,3,1,2"
3,F1,19,0.5798611111111112,0.5798611111111112,"2,0,1,3"
3,F2-S,0,0.4635416666666667,0.46354166666666663,"0,2,1,3"
3,F2-S,1,0.40625,0.40625,"0,3,2,1"
3,F2-S,2,0.4652777777777778,0.46527777777777773,"0,2,1,3"
3,F2-S,3,0.4670138888888889,0.4670138888888889,"2,3,1,0"
3,F2-S,4,0.4635416666666667,0.4635416666666667,"2,1,3,0"
3,F2-S,5,0.46875,0.46875,"2,0,1,3"
3,F2-S,6,0.4548611111111111,0.45486111111111105,"2,1,3,0"
3,F2-S,7,0.4288194444444444,0.4288194444444444,"0,1,2,3"
3,F2-S,8,0.4027777777777778,0.4027777777777778,"2,0,3,1"
3,F2-S,9,0.4635416666666667,0.46354166666666674,"2,3,1,0"
3,F2-S,10,0.4618055555555556,0.4618055555555556,"0,1,3,2"
3,F2-S,11,0.4635416666666667,0.46354166666666663,"2,0,1,3"
3,F2-S,12,0.4652777777777778,0.4652777777777778,"3,0,2,1"
3,F2-S,13,0.4548611111111111,0.4548611111111111,"1,3,0,2"
3,F2-S,14,0.4565972222222222,0.4565972222222222,"2,3,1,0"
3,F2-S,15,0.4635416666666667,0.4635416666666667,"3,1,0,2"
3,F2-S,16,0.4635416666666667,0.46354166666666663,"1,2,0,3"
3,F2-S,17,0.4513888888888889,0.4513888888888889,"0,1,2,3"
3,F2-S,18,0.453125,0.453125,"2,1,0,3"
3,F2-S,19,0.4079861111111111,0.4079861111111111,"3,2,1,0"
3,F2-V,0,0.2986111111111111,0.2986111111111111,"1,2,0,3"
3,F2-V,1,0.3003472222222222,0.3003472222222222,"0,2,1,3"
3,F2-V,2,0.3020833333333333,0.3020833333333333,"1,0,2,3"
3,F2-V,3,0.2951388888888889,0.2951388888888889,"3,1,2,0"
3,F2-V,4,0.3055555555555556,0.3055555555555555,"0,3,2,1"
3,F2-V,5,0.2916666666666667,0.29166666666666663,"1,0,3,2"
3,F2-V,6,0.296875,0.296875,"1,0,2,3"
3,F2-V,7,0.2899305555555556,0.2899305555555555,"3,0,2,1"
3,F2-V,8,0.2934027777777778,0.2934027777777778,"0,2,3,1"
3,F2-V,9,0.3072916666666667,0.3072916666666667,"2,0,1,3"
3,F2-V,10,0.2864583333333333,0.28645833333333337,"0,2,3,1"
3,F2-V,11,0.3020833333333333,0.30208333333333337,"3,2,0,1"
3,F2-V,12,0.2899305555555556,0.2899305555555555,"1,3,2,0"
3,F2-V,13,0.2881944444444444,0.2881944444444444,"0,1,2,3"
3,F2-V,14,0.2916666666666667,0.2916666666666667,"0,2,3,1"
3,F2-V,15,0.28125,0.28125,"2,0,3,1"
3,F2-V,16,0.2934027777777778,0.2934027777777778,"2,1,3,0"
3,F2-V,17,0.2899305555555556,0.2899305555555556,"2,1,3,0"
3,F2-V,18,0.2934027777777778,0.2934027777777778,"0,2,3,1"
3,F2-V,19,0.2847222222222222,0.2847222222222222,"3,1,0,2"
3,F3-G,0,0.2361111111111111,0.2361111111111111,"2,3,1,0"
3,F3-G,1,0.2361111111111111,0.2361111111111111,"3,1,2,0"
3,F3-G,2,0.2361111111111111,0.2361111111111111,"2,1,0,3"
3,F3-G,3,0.2361111111111111,0.2361111111111111,"0,3,1,2"
3,F3-G,4,0.2361111111111111,0.2361111111111111,"3,2,1,0"
3,F3-G,5,0.2361111111111111,0.2361111111111111,"0,1,3,2"
3,F3-G,6,0.2361111111111111,0.2361111111111111,"0,3,1,2"
3,F3-G,7,0.2361111111111111,0.2361111111111111,"2,0,3,1"
3,F3-G,8,0.2361111111111111,0.2361111111111111,"0,3,1,2"
3,F3-G,9,0.2361111111111111,0.2361111111111111,"2,1,0,3"
3,F3-G,10,0.2361111111111111,0.2361111111111111,"1,3,2,0"
3,F3-G,11,0.2361111111111111,0.2361111111111111,"3,0,1,2"
3,F3-G,12,0.2361111111111111,0.2361111111111111,"2,3,0,1"
3,F3-G,13,0.2361111111111111,0.2361111111111111,"2,1,3,0"
3,F3-G,14,0.2361111111111111,0.2361111111111111,"1,2,3,0"
3,F3-G,15,0.2361111111111111,0.2361111111111111,"0,3,2,1"
3,F3-G,16,0.2361111111111111,0.2361111111111111,"0,1,3,2"
3,F3-G,17,0.2361111111111111,0.2361111111111111,"0,1,3,2"
3,F3-G,18,0.2361111111111111,0.2361111111111111,"0,3,1,2"
3,F3-G,19,0.2361111111111111,0.2361111111111111,"2,3,1,0"
4,F0,0,0.3020833333333333,0.3020833333333333,"1,0,2,3"
4,F0,1,0.3020833333333333,0.30208333333333337,"1,2,3,0"
4,F0,2,0.296875,0.296875,"2,3,0,1"
4,F0,3,0.3038194444444444,0.3038194444444444,"2,3,0,1"
4,F0,4,0.3038194444444444,0.3038194444444444,"3,0,1,2"
4,F0,5,0.3038194444444444,0.3038194444444444,"0,3,1,2"
4,F0,6,0.2951388888888889,0.2951388888888889,"2,0,3,1"
4,F0,7,0.3020833333333333,0.30208333333333337,"1,2,3,0"
4,F0,8,0.3038194444444444,0.3038194444444444,"3,2,0,1"
4,F0,9,0.3055555555555556,0.3055555555555556,"2,0,1,3"
4,F0,10,0.3020833333333333,0.3020833333333333,"2,1,0,3"
4,F0,11,0.3038194444444444,0.3038194444444444,"3,1,2,0"
4,F0,12,0.296875,0.296875,"2,3,0,1"
4,F0,13,0.2986111111111111,0.2986111111111111,"0,1,3,2"
4,F0,14,0.3038194444444444,0.3038194444444444,"3,1,0,2"
4,F0,15,0.296875,0.296875,"0,2,1,3"
4,F0,16,0.2986111111111111,0.2986111111111111,"0,2,1,3"
4,F0,17,0.3038194444444444,0.3038194444444444,"3,1,2,0"
4,F0,18,0.2986111111111111,0.2986111111111111,"2,3,0,1"
4,F0,19,0.3072916666666667,0.3072916666666667,"2,0,1,3"
4,F1,0,0.328125,0.328125,"1,0,2,3"
4,F1,1,0.3350694444444444,0.3350694444444445,"1,3,2,0"
4,F1,2,0.3298611111111111,0.3298611111111111,"3,2,1,0"
4,F1,3,0.3333333333333333,0.33333333333333337,"3,2,1,0"
4,F1,4,0.3368055555555556,0.3368055555555555,"3,1,0,2"
4,F1,5,0.3350694444444444,0.3350694444444445,"1,0,2,3"
4,F1,6,0.3333333333333333,0.3333333333333333,"0,1,3,2"
4,F1,7,0.3263888888888889,0.32638888888888884,"1,3,2,0"
4,F1,8,0.3298611111111111,0.3298611111111111,"2,0,1,3"
4,F1,9,0.3315972222222222,0.33159722222222227,"1,3,0,2"
4,F1,10,0.3333333333333333,0.33333333333333337,"2,0,3,1"
4,F1,11,0.3298611111111111,0.3298611111111111,"1,2,0,3"
4,F1,12,0.328125,0.328125,"2,0,1,3"
4,F1,13,0.328125,0.328125,"0,1,3,2"
4,F1,14,0.3315972222222222,0.33159722222222227,"3,0,2,1"
4,F1,15,0.3368055555555556,0.3368055555555556,"1,0,2,3"
4,F1,16,0.3368055555555556,0.3368055555555556,"3,2,1,0"
4,F1,17,0.328125,0.328125,"3,0,2,1"
4,F1,18,0.3298611111111111,0.32986111111111116,"2,1,0,3"
4,F1,19,0.3333333333333333,0.3333333333333333,"3,2,1,0"
4,F2-S,0,0.3177083333333333,0.3177083333333333,"2,1,3,0"
4,F2-S,1,0.3159722222222222,0.3159722222222222,"3,2,1,0"
4,F2-S,2,0.3159722222222222,0.3159722222222222,"2,1,0,3"
4,F2-S,3,0.3090277777777778,0.3090277777777778,"1,0,3,2"
4,F2-S,4,0.3159722222222222,0.3159722222222222,"3,2,1,0"
4,F2-S,5,0.3142361111111111,0.3142361111111111,"2,0,3,1"
4,F2-S,6,0.3229166666666667,0.3229166666666667,"3,1,2,0"
4,F2-S,7,0.3194444444444444,0.3194444444444444,"1,0,3,2"
4,F2-S,8,0.3211805555555556,0.3211805555555556,"3,2,0,1"
4,F2-S,9,0.3194444444444444,0.3194444444444445,"3,1,0,2"
4,F2-S,10,0.3211805555555556,0.3211805555555556,"3,0,1,2"
4,F2-S,11,0.3125,0.3125,"0,2,3,1"
4,F2-S,12,0.3194444444444444,0.3194444444444444,"2,0,3,1"
4,F2-S,13,0.3194444444444444,0.3194444444444445,"1,0,3,2"
4,F2-S,14,0.3159722222222222,0.3159722222222222,"3,1,2,0"
4,F2-S,15,0.3229166666666667,0.32291666666666663,"2,1,3,0"
4,F2-S,16,0.3211805555555556,0.3211805555555556,"0,3,1,2"
4,F2-S,17,0.3194444444444444,0.3194444444444444,"3,0,2,1"
4,F2-S,18,0.3194444444444444,0.3194444444444445,"3,0,2,1"
4,F2-S,19,0.3194444444444444,0.3194444444444444,"3,1,2,0"
4,F2-V,0,0.3107638888888889,0.3107638888888889,"1,3,0,2"
4,F2-V,1,0.3038194444444444,0.3038194444444444,"3,2,0,1"
4,F2-V,2,0.3142361111111111,0.3142361111111111,"1,0,2,3"
4,F2-V,3,0.3020833333333333,0.3020833333333333,"0,3,1,2"
4,F2-V,4,0.3038194444444444,0.3038194444444444,"3,1,0,2"
4,F2-V,5,0.3142361111111111,0.3142361111111111,"2,3,1,0"
4,F2-V,6,0.3038194444444444,0.3038194444444445,"1,0,2,3"
4,F2-V,7,0.3020833333333333,0.3020833333333333,"1,2,3,0"
4,F2-V,8,0.2986111111111111,0.2986111111111111,"0,2,1,3"
4,F2-V,9,0.3142361111111111,0.31423611111111116,"2,0,1,3"
4,F2-V,10,0.3038194444444444,0.3038194444444444,"2,3,1,0"
4,F2-V,11,0.3072916666666667,0.3072916666666667,"0,3,2,1"
4,F2-V,12,0.3020833333333333,0.3020833333333333,"2,0,3,1"
4,F2-V,13,0.3038194444444444,0.3038194444444445,"3,2,1,0"
4,F2-V,14,0.3090277777777778,0.3090277777777778,"1,3,0,2"
4,F2-V,15,0.3125,0.3125,"1,2,3,0"
4,F2-V,16,0.3159722222222222,0.3159722222222222,"3,1,0,2"
4,F2-V,17,0.3003472222222222,0.3003472222222222,"1,3,2,0"
4,F2-V,18,0.3038194444444444,0.3038194444444445,"2,0,1,3"
4,F2-V,19,0.3055555555555556,0.3055555555555555,"2,3,0,1"
4,F3-G,0,0.25,0.24999999999999997,"0,3,2,1"
4,F3-G,1,0.25,0.24999999999999997,"0,2,1,3"
4,F3-G,2,0.25,0.24999999999999997,"1,0,2,3"
4,F3-G,3,0.25,0.24999999999999997,"0,1,2,3"
4,F3-G,4,0.25,0.24999999999999997,"2,0,1,3"
4,F3-G,5,0.25,0.24999999999999997,"3,2,0,1"
4,F3-G,6,0.25,0.24999999999999997,"2,0,3,1"
4,F3-G,7,0.25,0.24999999999999997,"2,1,0,3"
4,F3-G,8,0.25,0.24999999999999997,"3,0,2,1"
4,F3-G,9,0.25,0.24999999999999997,"2,3,1,0"
4,F3-G,10,0.25,0.24999999999999997,"2,3,1,0"
4,F3-G,11,0.25,0.24999999999999997,"2,0,3,1"
4,F3-G,12,0.25,0.24999999999999997,"0,2,1,3"
4,F3-G,13,0.25,0.24999999999999997,"0,3,2,1"
4,F3-G,14,0.25,0.24999999999999997,"0,1,3,2"
4,F3-G,15,0.25,0.24999999999999997,"0,2,3,1"
4,F3-G,16,0.25,0.24999999999999997,"0,2,1,3"
4,F3-G,17,0.25,0.24999999999999997,"2,1,0,3"
4,F3-G,18,0.25,0.24999999999999997,"1,2,0,3"
4,F3-G,19,0.25,0.24999999999999997,"1,0,2,3"
